GeneSymbol,Platform,TCGA.05.4390.01,TCGA.05.4417.01,TCGA.05.4433.01,TCGA.44.5644.01,TCGA.44.6145.01
MIR128-1,miRNAExp,-0.176994394,-0.160506404,-0.199366746,-0.149463849,-0.202659927
MIR128-2,miRNAExp,-0.17737348,-0.16091568,-0.199849168,-0.149620053,-0.203747841
MIR1287,miRNAExp,-0.18015804,-0.161037592,-0.200134684,-0.147573783,-0.204502981
MIR1301,miRNAExp,-0.179903018,-0.162378624,-0.20336396,-0.151879801,-0.206269242
MIR1306,miRNAExp,-0.180668083,-0.162726944,-0.203206435,-0.1529524,-0.206576417
MIR1307,miRNAExp,-0.134247271,-0.130420261,-0.11080777,-0.093178418,-0.145051691
MIR130A,miRNAExp,-0.179634212,-0.16087214,-0.202477878,-0.153811521,-0.205565297
MIR130B,miRNAExp,-0.177759459,-0.16156878,-0.202802775,-0.14714162,-0.206128453
MIR132,miRNAExp,-0.17876576,-0.159165372,-0.199366746,-0.150343797,-0.201060054
MIR134,miRNAExp,-0.17676005,-0.153827367,-0.203147362,-0.151666323,-0.199984939
MIR135B,miRNAExp,-0.18060605,-0.160924388,-0.201847776,-0.153592836,-0.206243644
MIR136,miRNAExp,-0.18071633,-0.162030304,-0.203777465,-0.153978139,-0.206717206
MIR139,miRNAExp,-0.18079904,-0.159905552,-0.202152982,-0.153811521,-0.203325475
MIR140,miRNAExp,-0.170246662,-0.121137532,-0.141279146,-0.142679398,-0.148750598
MIR141,miRNAExp,-0.141815207,-0.071031695,-0.062014186,-0.088716197,-0.153447826
MIR142,miRNAExp,-0.133371927,-0.112237955,-0.162052847,-0.144564257,-0.112375879
MIR143,miRNAExp,2.667122934,5.643315239,2.562403252,2.006669076,4.269037044
MIR144,miRNAExp,-0.18071633,-0.15569088,-0.199347055,-0.153462666,-0.19329107
MIR145,miRNAExp,-0.160045801,-0.115355419,-0.179173921,-0.148839034,-0.158746606
MIR1468,miRNAExp,-0.181150556,-0.162718236,-0.203708548,-0.154217651,-0.206550819
MIR146A,miRNAExp,-0.179668674,-0.158460024,-0.199543962,-0.150671825,-0.194762953
MIR146B,miRNAExp,-0.161824059,-0.13796139,-0.171258255,-0.137842288,-0.15819625
MIR148A,miRNAExp,2.158768521,1.61535976,0.744044788,0.619360772,1.565520006
MIR148B,miRNAExp,-0.16935064,-0.157772092,-0.192415925,-0.135796018,-0.201520818
MIR149,miRNAExp,-0.178607233,-0.162535368,-0.203738084,-0.154191617,-0.206691608
MIR150,miRNAExp,-0.170274232,-0.097216654,-0.146851618,-0.151739218,-0.104811679
MIR151A,miRNAExp,0.032957254,-0.061966666,0.095009394,0.145579068,-0.042224636
MIR152,miRNAExp,-0.165608027,-0.148315203,-0.195714119,-0.148792173,-0.195799671
MIR155,miRNAExp,-0.174830157,-0.150709903,-0.194453913,-0.144043578,-0.141941537
MIR15A,miRNAExp,-0.177862846,-0.159713976,-0.1985102,-0.15251503,-0.203287078
MIR15B,miRNAExp,-0.17408577,-0.154863619,-0.190958812,-0.148209012,-0.197745117
MIR16-1,miRNAExp,-0.165959543,-0.145876963,-0.179843405,-0.144715254,-0.188901017
MIR16-2,miRNAExp,-0.181005814,-0.162500536,-0.20349195,-0.154066654,-0.206422829
MIR17,miRNAExp,-0.154042456,-0.146077247,-0.175383459,-0.138836785,-0.191537609
MIR181A-1,miRNAExp,-0.146040294,-0.088848265,-0.077707684,-0.096557627,-0.105656412
MIR181A-2,miRNAExp,-0.168316769,-0.115024515,-0.167211814,-0.137300781,-0.150900828
MIR181B-1,miRNAExp,-0.165401253,-0.148341327,-0.163884083,-0.121211791,-0.186187632
MIR181B-2,miRNAExp,-0.181143663,-0.162692112,-0.203777465,-0.154175997,-0.206730005
MIR181C,miRNAExp,-0.176043233,-0.158799636,-0.201069992,-0.148672417,-0.204554177
MIR181D,miRNAExp,-0.179062136,-0.162274128,-0.203393496,-0.152468169,-0.206230845
MIR182,miRNAExp,0.983036536,0.212152495,0.615425059,0.789857204,1.891382192
MIR183,miRNAExp,0.654513659,0.037722528,0.198060734,0.47019657,0.369557144
MIR185,miRNAExp,-0.178979426,-0.160428032,-0.197791489,-0.147651885,-0.202583134
MIR186,miRNAExp,-0.17419605,-0.158277156,-0.195133243,-0.14895879,-0.192881502
MIR18A,miRNAExp,-0.180592265,-0.16248312,-0.203679012,-0.153702179,-0.206627613
MIR191,miRNAExp,-0.164443199,-0.154375971,-0.185474949,-0.140966363,-0.192766311
MIR192,miRNAExp,0.03453563,-0.154567547,1.234441964,0.08349327,-0.195697279
MIR193A,miRNAExp,-0.177966233,-0.158616768,-0.192465151,-0.149338886,-0.192087965
MIR193B,miRNAExp,-0.180316566,-0.1614817,-0.203334424,-0.151130023,-0.201712802
MIR194-1,miRNAExp,-0.154200983,-0.161098548,0.180693526,-0.106809802,-0.203722243
MIR194-2,miRNAExp,-0.151678337,-0.160898264,0.191395428,-0.105830925,-0.203402269
MIR195,miRNAExp,-0.180502663,-0.161072424,-0.202477878,-0.153733419,-0.205718885
MIR197,miRNAExp,-0.175457372,-0.157502144,-0.196629737,-0.151442431,-0.194123004
MIR1976,miRNAExp,-0.180923104,-0.16243958,-0.20253695,-0.154082275,-0.205552498
MIR199A-1,miRNAExp,-0.160011338,-0.123088124,-0.194188089,-0.145912817,-0.181029641
MIR199A-2,miRNAExp,-0.144020799,-0.096328437,-0.188458092,-0.138852405,-0.166950756
MIR199B,miRNAExp,-0.1319314,-0.076291327,-0.185780155,-0.13339048,-0.16273989
MIR200A,miRNAExp,-0.151843757,-0.150945019,0.078636567,-0.119977781,-0.175436484
MIR200B,miRNAExp,-0.155875854,-0.154201811,0.012475776,-0.126241553,-0.176268418
MIR200C,miRNAExp,0.17264013,0.289975899,0.639959686,0.276519495,0.456782235
MIR203A,miRNAExp,-0.157874671,-0.076953135,0.173644251,-0.149677328,0.068883362
MIR205,miRNAExp,-0.175092071,-0.162126092,-0.203423032,-0.154087481,-0.206179649
MIR20A,miRNAExp,-0.175030039,-0.159853304,-0.199012313,-0.15251503,-0.201418426
MIR21,miRNAExp,11.42805003,12.7240346,13.11956849,6.762626574,12.57589902
MIR210,miRNAExp,-0.115789226,-0.159330824,-0.172715368,-0.145053696,-0.175001318
MIR212,miRNAExp,-0.181026491,-0.162509244,-0.203600249,-0.153134638,-0.206576417
MIR214,miRNAExp,-0.180730115,-0.161629736,-0.203708548,-0.154025,-0.205795679
MIR217,miRNAExp,-0.180881749,-0.161011468,-0.203718393,-0.153972932,-0.206205247
MIR22,miRNAExp,1.307348111,2.562842505,3.692610723,0.984122646,3.69080445
MIR221,miRNAExp,-0.178848469,-0.157362816,-0.144537959,-0.138050559,-0.197156363
MIR222,miRNAExp,-0.180516448,-0.161882268,-0.197240149,-0.152353619,-0.204349394
MIR223,miRNAExp,-0.173107039,-0.153827367,-0.195989789,-0.14770916,-0.189323384
MIR224,miRNAExp,-0.181095416,-0.162631156,-0.203728238,-0.154202031,-0.204976544
MIR2355,miRNAExp,-0.179089706,-0.159147956,-0.201178291,-0.146001332,-0.204106213
MIR23A,miRNAExp,-0.10409959,-0.051578021,-0.010079934,-0.055871748,-0.071150345
MIR23B,miRNAExp,-0.142725014,-0.070378595,-0.12119462,-0.109647504,-0.164467753
MIR24-1,miRNAExp,-0.180495771,-0.161211752,-0.20334427,-0.153795901,-0.205616493
MIR24-2,miRNAExp,-0.119138968,-0.052501069,-0.119471683,-0.049920383,-0.121002396
MIR25,miRNAExp,0.179112163,0.007296773,0.121375257,0.0662692,0.350614645
MIR26A-2,miRNAExp,-0.102314439,-0.056672201,0.055096322,-0.019762639,-0.060181614
MIR26B,miRNAExp,-0.160335285,-0.144135362,-0.17941021,-0.13874827,-0.177714703
MIR27A,miRNAExp,-0.150678929,-0.103216466,-0.135539304,-0.100311725,-0.168064268
MIR27B,miRNAExp,-0.124907969,-0.033117059,-0.142214455,-0.116093514,-0.163123859
MIR28,miRNAExp,0.164631076,-0.061627054,0.053688436,0.065514215,0.196079686
MIR29A,miRNAExp,-0.014738666,0.573203628,0.460065344,0.181089396,0.254750239
MIR29B-1,miRNAExp,-0.173989275,-0.152460211,-0.188192267,-0.148995238,-0.196836389
MIR29B-2,miRNAExp,-0.173768716,-0.152033519,-0.186685928,-0.149026479,-0.196452419
MIR29C,miRNAExp,-0.123136603,0.003160473,0.04702313,-0.085649396,-0.110814403
MIR3065,miRNAExp,-0.179358513,-0.160750228,-0.164002228,-0.152707681,-0.202595933
MIR30A,miRNAExp,-0.006991525,0.049225798,1.77840772,-0.107169071,1.127641092
MIR30B,miRNAExp,-0.159142887,-0.147531483,-0.193774584,-0.145714958,-0.198282674
MIR30C-2,miRNAExp,-0.176711803,-0.157362816,-0.190643761,-0.144178955,-0.186482009
MIR30D,miRNAExp,0.34253272,0.044027121,0.53285206,0.062077731,0.178225101
MIR30E,miRNAExp,0.077565345,0.11511924,0.345101124,0.444490633,0.395859061
MIR3127,miRNAExp,-0.181136771,-0.162718236,-0.202802775,-0.154077068,-0.206422829
MIR32,miRNAExp,-0.180475093,-0.160245164,-0.202280971,-0.152285931,-0.206320437
MIR320A,miRNAExp,-0.169019802,-0.151963855,-0.181733714,-0.144574671,-0.182245545
MIR320B-2,miRNAExp,-0.180992029,-0.162726944,-0.203610094,-0.153998966,-0.206678809
MIR324,miRNAExp,-0.179158631,-0.161995472,-0.202408961,-0.152249483,-0.205693287
MIR326,miRNAExp,-0.180268319,-0.160192916,-0.202684631,-0.151244572,-0.206512422
MIR328,miRNAExp,-0.179772061,-0.162169632,-0.202881538,-0.153421012,-0.205680488
MIR330,miRNAExp,-0.17871062,-0.16065444,-0.198825251,-0.150817615,-0.203338274
MIR331,miRNAExp,-0.179103491,-0.160166792,-0.202645249,-0.151015474,-0.205578096
MIR335,miRNAExp,-0.172907157,-0.160367076,-0.197752107,-0.14975543,-0.203722243
MIR337,miRNAExp,-0.180778362,-0.161951932,-0.203757775,-0.154035413,-0.206218046
MIR338,miRNAExp,-0.171570017,-0.157859172,-0.172016347,-0.153447046,-0.181362415
MIR339,miRNAExp,-0.179096599,-0.161516532,-0.202714167,-0.152723302,-0.205846875
MIR33A,miRNAExp,-0.179620427,-0.16248312,-0.203354115,-0.154025,-0.206704407
MIR342,miRNAExp,-0.17793177,-0.158399068,-0.201631178,-0.153795901,-0.198743438
MIR345,miRNAExp,-0.179048351,-0.162256712,-0.203580558,-0.153868796,-0.206512422
MIR34A,miRNAExp,-0.177104674,-0.157110284,-0.193656439,-0.151301847,-0.200906466
MIR34C,miRNAExp,-0.181102308,-0.16230896,-0.201316126,-0.154212444,-0.205590895
MIR3607,miRNAExp,-0.180061545,-0.162552784,-0.203472259,-0.15415517,-0.205795679
MIR361,miRNAExp,-0.171246071,-0.144953914,-0.165154134,-0.117098425,-0.180812058
MIR3613,miRNAExp,-0.180550911,-0.162561492,-0.203688857,-0.154087481,-0.20666601
MIR3614,miRNAExp,-0.181129878,-0.162718236,-0.202527105,-0.154165583,-0.206755603
MIR3615,miRNAExp,-0.181129878,-0.162605032,-0.20361994,-0.154077068,-0.206576417
MIR362,miRNAExp,-0.180792147,-0.162517952,-0.203551022,-0.154035413,-0.206602015
MIR3653,miRNAExp,-0.181081631,-0.162674696,-0.203688857,-0.154212444,-0.206461226
MIR365A,miRNAExp,-0.180488878,-0.16135108,-0.203206435,-0.151577807,-0.204119012
MIR365B,miRNAExp,-0.180502663,-0.161368496,-0.203206435,-0.151588221,-0.204131811
MIR3677,miRNAExp,-0.180323459,-0.162718236,-0.203324579,-0.153874003,-0.206550819
MIR374A,miRNAExp,-0.155441628,-0.126048845,-0.179951704,-0.137670463,-0.189003409
MIR374B,miRNAExp,-0.179840986,-0.160767644,-0.201719786,-0.152593132,-0.202480742
MIR375,miRNAExp,7.30191877,1.87457953,1.384691939,12.4617946,0.363759203
MIR378A,miRNAExp,-0.178083405,-0.155891164,-0.17873088,-0.15251503,-0.192663919
MIR379,miRNAExp,-0.167014092,-0.137447618,-0.200134684,-0.144204988,-0.18483094
MIR381,miRNAExp,-0.180702545,-0.16117692,-0.20363963,-0.153733419,-0.205936468
MIR382,miRNAExp,-0.180867964,-0.162274128,-0.20376762,-0.154087481,-0.206397231
MIR3913-1,miRNAExp,-0.180998921,-0.162770484,-0.203265507,-0.154025,-0.206717206
MIR3934,miRNAExp,-0.181116093,-0.162796608,-0.203383651,-0.154019793,-0.206742804
MIR409,miRNAExp,-0.180888642,-0.16222188,-0.203797156,-0.154118722,-0.20616685
MIR423,miRNAExp,-0.177352803,-0.158947672,-0.196570665,-0.145423378,-0.193585446
MIR424,miRNAExp,-0.178303964,-0.15982718,-0.203058754,-0.151983937,-0.205514101
MIR425,miRNAExp,-0.174402824,-0.15895638,-0.19187443,-0.147464441,-0.202736721
MIR431,miRNAExp,-0.181088523,-0.162509244,-0.203787311,-0.154196824,-0.20666601
MIR451A,miRNAExp,-0.179585964,-0.132222817,-0.190161338,-0.151254986,-0.142747873
MIR452,miRNAExp,-0.180730115,-0.161899684,-0.202842156,-0.153754247,-0.20363265
MIR455,miRNAExp,-0.17478191,-0.15873868,-0.196550974,-0.153119018,-0.203120691
MIR4661,miRNAExp,-0.181122986,-0.162796608,-0.203728238,-0.154071861,-0.206358834
MIR4772,miRNAExp,-0.181054061,-0.162648572,-0.203501795,-0.154139549,-0.206192448
MIR484,miRNAExp,-0.179027674,-0.161072424,-0.202773239,-0.153207533,-0.203824635
MIR486,miRNAExp,-0.180626728,-0.155612508,-0.199002468,-0.153493907,-0.184459769
MIR493,miRNAExp,-0.181088523,-0.162422164,-0.203807001,-0.154123929,-0.206589216
MIR497,miRNAExp,-0.180936889,-0.162065136,-0.203383651,-0.154066654,-0.20641003
MIR500A,miRNAExp,-0.173348275,-0.159278576,-0.195389222,-0.151770458,-0.199153005
MIR500B,miRNAExp,-0.181005814,-0.162814024,-0.203531331,-0.154118722,-0.206550819
MIR501,miRNAExp,-0.17868305,-0.161908392,-0.202133291,-0.153103397,-0.204784559
MIR502,miRNAExp,-0.180805932,-0.162326376,-0.203107981,-0.153655318,-0.206602015
MIR505,miRNAExp,-0.180357921,-0.16156878,-0.202084064,-0.153572009,-0.20477176
MIR511,miRNAExp,-0.180530233,-0.160793768,-0.202408961,-0.154139549,-0.206051659
MIR532,miRNAExp,-0.147315401,-0.141775494,-0.15591919,-0.135629401,-0.181452007
MIR542,miRNAExp,-0.176580846,-0.152024811,-0.200814013,-0.145303622,-0.203543057
MIR574,miRNAExp,-0.179944373,-0.15782434,-0.19838221,-0.151353915,-0.202442345
MIR576,miRNAExp,-0.180950674,-0.162631156,-0.203551022,-0.154103102,-0.206550819
MIR582,miRNAExp,-0.154132058,-0.15830328,-0.185061444,-0.124408762,-0.16576045
MIR584,miRNAExp,-0.180923104,-0.162361208,-0.189757679,-0.154118722,-0.204669368
MIR589,miRNAExp,-0.176015663,-0.159487568,-0.199927931,-0.149427402,-0.202954304
MIR598,miRNAExp,-0.181040276,-0.162578908,-0.202881538,-0.154123929,-0.206218046
MIR6087,miRNAExp,-0.179930588,-0.162561492,-0.203590404,-0.154134342,-0.206154051
MIR625,miRNAExp,-0.161093457,-0.153209099,-0.143819248,-0.150692652,-0.188965012
MIR629,miRNAExp,-0.175381555,-0.1597401,-0.198273911,-0.14826108,-0.197924303
MIR652,miRNAExp,-0.1801029,-0.162099968,-0.199662107,-0.151629875,-0.204989343
MIR654,miRNAExp,-0.18079904,-0.161281416,-0.203669166,-0.153733419,-0.206320437
MIR660,miRNAExp,-0.179978835,-0.16156878,-0.202005301,-0.153441839,-0.205962066
MIR664A,miRNAExp,-0.180585373,-0.162099968,-0.203167053,-0.153863589,-0.20539891
MIR664B,miRNAExp,-0.181129878,-0.162718236,-0.203698702,-0.154077068,-0.206589216
MIR671,miRNAExp,-0.180923104,-0.162735652,-0.203275352,-0.154045827,-0.20641003
MIR6842,miRNAExp,-0.181005814,-0.162683404,-0.203570713,-0.154196824,-0.206550819
MIR7-1,miRNAExp,-0.180881749,-0.162230588,-0.20238927,-0.152462962,-0.205373312
MIR708,miRNAExp,-0.164663758,-0.157101576,-0.20334427,-0.145308829,-0.203709444
MIR744,miRNAExp,-0.179592857,-0.161769064,-0.201985611,-0.150786375,-0.204874152
MIR758,miRNAExp,-0.180895534,-0.16222188,-0.203777465,-0.154087481,-0.206320437
MIR766,miRNAExp,-0.180929997,-0.16239604,-0.203580558,-0.15404062,-0.206422829
MIR769,miRNAExp,-0.180585373,-0.162317668,-0.203009528,-0.153686558,-0.205770081
MIR874,miRNAExp,-0.180805932,-0.162160924,-0.201946229,-0.153608456,-0.205731684
MIR889,miRNAExp,-0.181012706,-0.162474412,-0.203738084,-0.153998966,-0.20666601
MIR9-1,miRNAExp,-0.161748242,0.001018305,-0.180906704,-0.113844179,-0.08888974
MIR9-2,miRNAExp,-0.161479435,-0.00118482,-0.180040312,-0.114125346,-0.087481851
MIR92A-1,miRNAExp,-0.165656274,-0.153984111,-0.192406079,-0.152598339,-0.186098039
MIR92A-2,miRNAExp,0.317871448,0.020506811,0.09614161,-0.055960263,0.24349993
MIR92B,miRNAExp,-0.172686598,-0.159592064,-0.194759119,-0.143517692,-0.19745074
MIR93,miRNAExp,-0.034237474,-0.120998204,-0.095025665,-0.086477276,-0.064200496
MIR942,miRNAExp,-0.181019599,-0.1625702,-0.203590404,-0.154149963,-0.206563618
MIR96,miRNAExp,-0.180316566,-0.162517952,-0.203482105,-0.153608456,-0.206333236
MIR99A,miRNAExp,-0.179923695,-0.155682172,-0.194542521,-0.153061743,-0.197681122
MIR99B,miRNAExp,2.64437777,0.439178786,1.160306434,0.402112546,1.220254556
A1BG,geneExp,-0.26770466,-0.168018453,-0.172240084,-0.260657224,-0.249061947
A1BG-AS1,geneExp,-0.292229113,-0.169017058,-0.172079908,-0.261311641,-0.244143959
A2M,geneExp,2.825433637,3.917954705,4.176068988,0.889589449,4.337265759
A4GALT,geneExp,-0.158623898,-0.108731394,-0.148662271,-0.13529197,-0.224709917
AAAS,geneExp,-0.147180377,-0.115668312,-0.115593814,-0.057122127,-0.148369162
AACS,geneExp,0.042414727,-0.032044095,-0.113010335,0.422079935,-0.068517161
AADAT,geneExp,-0.249324382,-0.164607919,-0.16808999,-0.284593352,-0.257330296
AAED1,geneExp,-0.288599674,-0.153325893,-0.161579639,-0.224693109,-0.207380342
AAGAB,geneExp,-0.176848756,-0.061011471,-0.014424999,-0.026722756,0.004199104
AAK1,geneExp,-0.20058346,-0.033035081,-0.001507631,-0.134393472,-0.084600824
AAMDC,geneExp,-0.286763067,-0.156267611,-0.164059773,-0.267372046,-0.216723588
AAMP,geneExp,0.069540122,0.042127617,0.250226018,0.183676913,0.183724486
AAR2,geneExp,-0.021584215,-0.090055069,-0.068677939,-0.124060674,-0.097173278
AARS,geneExp,0.428386318,0.396520506,0.218707645,0.837787715,0.400287615
AARS2,geneExp,-0.217962072,-0.144559456,-0.112392374,-0.219481774,-0.178962101
AARSD1,geneExp,-0.214569988,-0.124358528,-0.132024697,-0.176024138,-0.205907886
AASDH,geneExp,-0.269527154,-0.150200469,-0.150935725,-0.265125778,-0.219612989
AASDHPPT,geneExp,-0.123736692,-0.098745273,-0.123860928,-0.108187115,-0.140893655
AASS,geneExp,-0.255681911,-0.111933051,-0.107223354,-0.27156506,-0.200018098
AATF,geneExp,-0.13969264,-0.002009511,-0.023208804,-0.102796081,-0.107820206
AATK,geneExp,-0.26444114,-0.171316162,-0.146698829,-0.284443603,-0.188804837
ABAT,geneExp,-0.184053947,-0.116583078,-0.130371279,-0.243711434,-0.236262967
ABCA1,geneExp,-0.159333107,-0.006508596,-0.032820362,0.074203188,0.037382427
ABCA11P,geneExp,-0.285720434,-0.171403816,-0.168874329,-0.274199169,-0.246918967
ABCA2,geneExp,-0.115816652,-0.090436219,-0.067851224,-0.074642955,0.114519449
ABCA3,geneExp,1.942039095,1.02511241,1.381994006,0.209883269,-0.051187586
ABCA5,geneExp,-0.264299856,-0.168495656,-0.149075629,-0.093960803,-0.218706866
ABCA6,geneExp,-0.294250804,-0.166208753,-0.1628197,-0.286390371,-0.234790529
ABCA7,geneExp,-0.238022145,-0.147608648,-0.07043469,-0.028370003,-0.182461997
ABCA9,geneExp,-0.300325764,-0.17306945,-0.171396839,-0.288187368,-0.247136439
ABCB1,geneExp,-0.296511242,-0.170172711,-0.171293493,-0.286090872,-0.234903792
ABCB10,geneExp,-0.213298495,-0.096687068,-0.105259911,-0.224393609,-0.164452825
ABCB4,geneExp,-0.29453335,-0.166284985,-0.174910353,-0.208969277,-0.255064999
ABCB6,geneExp,-0.171461835,-0.08139535,-0.119746996,-0.0383509,-0.043439114
ABCB7,geneExp,-0.199735798,-0.125273282,-0.134091472,-0.177521658,-0.176572191
ABCB8,geneExp,-0.09787434,-0.102099395,-0.10712002,-0.092463283,-0.091056946
ABCB9,geneExp,-0.254304438,-0.169137501,-0.15964203,-0.256082337,-0.236998057
ABCC1,geneExp,0.052304209,0.006528241,0.104208105,0.042611787,0.673256802
ABCC10,geneExp,-0.179391763,-0.102556766,-0.103503148,-0.15970133,-0.185406891
ABCC2,geneExp,-0.303716433,-0.177490778,-0.160132888,-0.282197357,0.058000092
ABCC3,geneExp,-0.058175216,-0.064441814,0.926786014,0.093976275,1.080445312
ABCC4,geneExp,0.29615008,-0.068100854,-0.114973777,-0.15985108,-0.211910955
ABCC5,geneExp,0.118704874,-0.128932322,-0.036642863,-0.087072271,-0.100231435
ABCC6,geneExp,-0.281394506,-0.147989798,-0.148765604,-0.251348715,-0.211457885
ABCC9,geneExp,-0.262321964,-0.115973242,-0.15176244,-0.258836245,-0.187785452
ABCD1,geneExp,-0.218525772,-0.108883859,-0.122414176,-0.111182109,-0.183254838
ABCD3,geneExp,-0.097309225,-0.063679513,-0.014321653,-0.109984112,0.036253167
ABCD4,geneExp,-0.192248061,-0.111323215,-0.10184973,-0.165841113,-0.196506871
ABCE1,geneExp,0.067420946,0.022460292,-0.035402803,-0.055924129,-0.083807983
ABCF1,geneExp,0.085221973,0.044795658,0.031457494,0.374309463,0.078501105
ABCF2,geneExp,0.105142177,-0.050720432,-0.063304303,-0.045291832,0.007597068
ABCF3,geneExp,-0.065097838,-0.082508304,-0.062167576,-0.052030614,-0.040314132
ABCG1,geneExp,0.148797085,-0.084414056,-0.023415483,-0.192646469,-0.052433498
ABCG2,geneExp,-0.301032141,-0.167275972,-0.141841896,-0.288187368,-0.243851738
ABHD10,geneExp,-0.201289859,-0.107283025,-0.126031037,-0.090965786,-0.167057912
ABHD11,geneExp,0.046794364,-0.114753558,-0.068057903,-0.105192098,-0.212930341
ABHD12,geneExp,-0.083463981,-0.005134935,-0.003057715,0.206888253,-0.047336569
ABHD13,geneExp,-0.196062583,-0.126111816,-0.098336203,-0.185009188,-0.171361999
ABHD14A,geneExp,-0.189422508,-0.147151277,-0.153002501,-0.235924405,-0.23082625
ABHD14B,geneExp,0.006953956,-0.054227007,0.087467197,-0.119268661,-0.108613065
ABHD15,geneExp,-0.2286978,-0.127865103,-0.11218362,-0.236373654,-0.203982378
ABHD16A,geneExp,0.033514214,-0.050415502,0.025153822,0.059683366,-0.08290186
ABHD16B,geneExp,-0.281111937,-0.170401396,-0.164679796,-0.241914438,-0.236036441
ABHD17A,geneExp,-0.179956879,-0.126035583,-0.129647909,-0.203278765,-0.189597697
ABHD17B,geneExp,-0.242119213,-0.128017568,-0.12293088,-0.233378637,-0.171475262
ABHD17C,geneExp,0.006106295,0.155557732,0.331553756,-0.057421626,0.155747984
ABHD18,geneExp,-0.276025945,-0.166666136,-0.156206016,-0.233528387,-0.243625212
ABHD2,geneExp,0.293748358,0.244441811,2.680964402,1.627422858,0.858671991
ABHD3,geneExp,-0.116381767,-0.089673918,0.07072629,0.069117665,-0.174306893
ABHD4,geneExp,-0.097733056,-0.033568697,-0.029512476,-0.205375261,-0.025249855
ABHD5,geneExp,-0.181793486,-0.092265727,-0.106293305,-0.140832754,-0.141233444
ABHD6,geneExp,-0.253280166,-0.164303001,-0.135848236,-0.269318792,-0.234450722
ABHD8,geneExp,-0.217536826,-0.149057017,-0.15010901,-0.213461813,-0.209192588
ABI1,geneExp,-0.042634627,0.014582695,0.094242096,0.09448092,0.090236503
ABI2,geneExp,-0.161873282,-0.0506442,-0.075394969,0.012961165,-0.09037735
ABI3,geneExp,-0.276167208,-0.141129114,-0.143288647,-0.263179032,-0.191523205
ABI3BP,geneExp,-0.299054249,-0.086777179,-0.097096143,-0.283694854,-0.131039569
ABL1,geneExp,-0.003359334,0.127047738,0.055018764,-0.038403301,0.226085688
ABL2,geneExp,-0.147180377,-0.030290807,-0.112390298,-0.086623022,-0.100004909
ABLIM1,geneExp,-0.101265009,0.06850316,0.541125118,0.285956594,0.576415034
ABLIM2,geneExp,-0.188857392,-0.166589903,-0.167366621,-0.242213937,-0.222104813
ABLIM3,geneExp,-0.212168265,-0.156222632,-0.11022019,-0.149518282,-0.121072238
ABR,geneExp,0.11248863,0.115537027,0.329900338,0.616156773,0.017790943
ABRACL,geneExp,-0.130368295,-0.066957402,-0.097096143,-0.16763811,-0.110538574
